Search_key,ProbeId
CSF3,2100725
CHAT,6980041
RORA,6100619
RFC2,580037
KCNN3,6200162
RAI1,3780064
PPM1B,6590348
RAPSN,5270433
TEX14,6590717
CDKN2D,6380167
AP1GBP1,1780070
DYRK2,130082
GSN,2640072
MS4A6A,5360164
FLJ22054,2190097
EFNA1,6620204
OPRL1,6400309
PKNOX1,540731
AGTR1,2120528
MRPL39,2680609
ITPA,50692
VGLL2,940040
PLOD2,730301
BNIPL,5130008
EFEMP1,4210288
PHC2,1450278
GCDH,1090176
RFXANK,2810239
LOC51759,1990193
PTPRC,3140088
Cab45,5700193
CABP2,2940020
RNF40,610273
CHRD,3440446
FLJ12661,2100348
CCR6,3520592
PCDHAC2,6940692
ANGPTL4,5130671
ATM,6650286
CASP7,4070440
GART,6660397
POFUT1,3520066
FUT8,6840398
INVS,6760736
PCDHGC4,110451
PTPRT,130458
BCOR,1050397
ACRV1,4230017
ARPC2,6590722
OGT,5700692
TAF6,2260176
HNRPDL,3130411
PLCB1,2630338
CDK5RAP1,5890053
EBAG9,2900079
KIR2DL3,2370504
CYP20A1,6220672
PH-4,6860129
KREMEN1,3360402
SNAP23,1570373
MAG,4120398
ZNF302,3940332
GRIN1,5420450
PPIL2,2480433
DDR1,3360594
MARK2,2260102
SYTL2,6660398
RNF138,2450446
AIF1,2450064
SMN1,2480451
EDARADD,1170364
SEMA6D,6040471
MGC15416,1190041
PSME1,3390324
GALNAC4S-6ST,2810347
EMS1,6130524
LIG3,1780731
DHRS2,1780452
PTPRR,2510278
GABRB3,4730020
MAGEB1,4210021
OSBPL5,4210546
SPAG1,5080066
CAST,2120164
RNF128,5570167
GHSR,3940739
AGPAT1,520373
MAX,1980292
NR4A2,6980059
FBX30,4730605
GI_8923455-A,4150113
SLC25A3,580347
COL4A5,5890047
BAZ1B,2970100
E1B-AP5,60204
IMPDH1,70161
SEC13L1,4230021
FXYD1,1230138
TRIM34,2630372
FASTK,520148
ABCC1,2260253
CKLFSF1,780097
PCBP2,2260093
BTN2A2,4540546
BNIP1,5360575
HOXB6,4540097
MIZ1,5220020
RAD17,4850132
IL16,510112
DYRK1A,5390053
SFRS8,7000037
BCL2L1,3060273
AUP1,2120632
CAPN10,2230114
PRNP,450097
PTPN7,3190133
SNX7,2360750
CDK5RAP3,3440433
WFDC2,2650358
OSBPL9,2360484
IL1RN,3940070
DUSP15,3520204
ALG2,5360113
TPM3,6590484
SLC26A1,6770021
IDH3G,840463
COX15,6510025
ING3,870082
SLC25A14,5690324
CD79A,6840132
KCNIP2,7040050
TBX6,5290603
CDCA4,1980008
DGUOK,6650725
C1QTNF3,2900176
WHSC1,1050195
STARD5,6900037
UPF3A,4210026
GRIK2,2970440
WHSC1L1,4810433
TRAF5,4850095
NR2E3,60239
OSCAR,6840010
OSBPL6,3120315
GRF2,3360215
CPNE7,6290148
TNFRSF5,4590193
C1orf2,6400411
CAMK2A,5890280
WNT8A,1770671
PTP9Q22,2360458
KLRC3,3450692
GI_21464130-A,3940280
PSEN1,7040537
GI_17318560-A,840131
MRPL27,5290273
GI_5453683-A,5130164
PCDH10,1090040
RNF13,110037
RNF39,4610086
CDC42BPA,130601
DNAH9,4150332
MAGEA6,1690136
MCP,5670408
HNF4A,2480619
TNFRSF10B,3130377
PPAP2B,4760112
AOC2,2100020
RAD51L1,6940008
FLJ10597,2370433
ADRA1A,450278
ASAH1,5570021
DOM3Z,2690463
CCL14,5890095
RSU1,840731
GI_16306545-A,1240100
CTDSP1,2060139
GI_21614532-A,5670129
OSBPL3,3780603
GI_23110973-A,6420452
ZFP64,2120348
HPN,5720195
RAC1,4060369
FLJ20403,1570278
FLJ10378,870446
L3MBTL,1170091
ZAN,4810372
CAMK2B,6100270
OTOA,6020647
CDK4,7040292
ICAP-1A,4760497
ABR,4210086
RHCE,3360433
DCX,4070040
CNOT7,2470102
NEK3,5700433
IL4,2100347
CASP8,6900735
CYP2C8,5860341
C9orf24,2650435
NOLA1,460142
TLR9,2470136
MMP25,2970181
PCDHA8,6760451
COL6A3,7050452
FXYD2,6980411
GI_8923259-A,1170341
DCTN1,6520348
GI_39752682-A,5270546
FST,5290592
RPS24,5220433
SLC21A3,4230593
TNFSF13,2680672
OAZIN,4780338
SMARCA1,1050129
PSMD12,4730292
CLDN10,3520671
BSG,6900020
NFAT5,360059
FBXO3,5130577
